tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
21228,KDT,ds_window,-299856534,709352817,502,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,9,205458,window
21228,KDT,ds_attribute,320107617,9,132,589ca754-ef75-426c-8d51-841cc61dc84a,320107617,320107618,9,3469,769,attribute
0,KDT,ds_neighbor,308,0,479,589ca754-ef75-426c-8d51-841cc61dc84a,320107617,320107618,308,0,173,neighbor
21228,KDT,ds_window,-299856534,709352817,424,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,5,112864,window
21228,KDT,ds_attribute,344109831,10,197,589ca754-ef75-426c-8d51-841cc61dc84a,344109831,344109832,10,6791,1260,attribute
0,KDT,ds_neighbor,40,0,410,589ca754-ef75-426c-8d51-841cc61dc84a,344109831,344109832,40,0,241,neighbor
21228,KDT,ds_window,-299856534,709352817,689,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,11,126706,window
21228,KDT,ds_attribute,296105404,8,188,589ca754-ef75-426c-8d51-841cc61dc84a,296105404,296105405,8,2499,7,attribute
21228,KDT,ds_window,-299856534,709352817,591,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,7,134464,window
21228,KDT,ds_attribute,328294419,10,115,589ca754-ef75-426c-8d51-841cc61dc84a,328294419,328294420,10,2712,746,attribute
0,KDT,ds_neighbor,38,0,325,589ca754-ef75-426c-8d51-841cc61dc84a,328294419,328294420,38,0,138,neighbor
21228,KDT,ds_window,-299856534,709352817,524,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,8,114404,window
21228,KDT,ds_attribute,290151366,11,108,589ca754-ef75-426c-8d51-841cc61dc84a,290151366,290151367,11,1988,4,attribute
21228,KDT,ds_window,-299856534,709352817,392,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,7,118120,window
21228,KDT,ds_attribute,361971943,7,109,589ca754-ef75-426c-8d51-841cc61dc84a,361971943,361971944,7,2746,7,attribute
21228,KDT,ds_attribute,218702917,6,170,589ca754-ef75-426c-8d51-841cc61dc84a,218702917,218702918,6,4134,1001,attribute
0,KDT,ds_neighbor,86,0,476,589ca754-ef75-426c-8d51-841cc61dc84a,218702917,218702918,86,0,266,neighbor
21228,KDT,ds_window,-299856534,709352817,400,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,6,132704,window
21228,KDT,ds_attribute,232099501,9,180,589ca754-ef75-426c-8d51-841cc61dc84a,232099501,232099502,9,3027,763,attribute
0,KDT,ds_neighbor,292,0,371,589ca754-ef75-426c-8d51-841cc61dc84a,232099501,232099502,292,0,157,neighbor
21228,KDT,ds_window,-299856534,709352817,372,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,8,118083,window
