tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),iteration,brush percentage,total drawing time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
21651,KDT,ds_window,-287576332,703212716,365,1,98,606315,589ca754-ef75-426c-8d51-841cc61dc84a,-287576332,703212716,5424,6,127661,window
21651,KDT,ds_window,-268225711,664511474,368,2,92,391122,589ca754-ef75-426c-8d51-841cc61dc84a,-268225711,664511474,5424,6,109272,window
21651,KDT,ds_window,-96675007,578736122,370,3,66,396720,589ca754-ef75-426c-8d51-841cc61dc84a,-96675007,578736122,5424,7,125869,window
21651,KDT,ds_window,-17784010,420954128,441,4,43,420771,589ca754-ef75-426c-8d51-841cc61dc84a,-17784010,420954128,5424,7,122797,window
21651,KDT,ds_window,-123096048,473610147,544,5,59,459342,589ca754-ef75-426c-8d51-841cc61dc84a,-123096048,473610147,5424,16,122183,window
21651,KDT,ds_window,-208313210,644044471,457,6,84,400734,589ca754-ef75-426c-8d51-841cc61dc84a,-208313210,644044471,5424,8,137602,window
21651,KDT,ds_window,-99652026,589713879,366,7,68,377352,589ca754-ef75-426c-8d51-841cc61dc84a,-99652026,589713879,5424,7,112046,window
21651,KDT,ds_window,-64485992,519381811,367,8,57,410726,589ca754-ef75-426c-8d51-841cc61dc84a,-64485992,519381811,5424,7,110974,window
21651,KDT,ds_window,-190637160,582457395,1051,9,76,339325,589ca754-ef75-426c-8d51-841cc61dc84a,-190637160,582457395,5424,8,133459,window
21651,KDT,ds_window,-144307306,489797687,467,10,62,416132,589ca754-ef75-426c-8d51-841cc61dc84a,-144307306,489797687,5425,7,127967,window
21651,KDT,ds_window,-6992318,421140193,376,11,42,393332,589ca754-ef75-426c-8d51-841cc61dc84a,-6992318,421140193,5424,7,143180,window
21651,KDT,ds_window,-93697988,594551533,448,12,68,359077,589ca754-ef75-426c-8d51-841cc61dc84a,-93697988,594551533,5424,7,126795,window
21651,KDT,ds_window,-167379202,631392140,578,13,79,339295,589ca754-ef75-426c-8d51-841cc61dc84a,-167379202,631392140,5424,26,127518,window
21651,KDT,ds_window,-88488206,473610148,373,14,55,368340,589ca754-ef75-426c-8d51-841cc61dc84a,-88488206,473610148,5424,6,119582,window
21651,KDT,ds_window,-118258392,488495241,402,15,60,380318,589ca754-ef75-426c-8d51-841cc61dc84a,-118258392,488495241,5424,7,118365,window
21651,KDT,ds_window,-172588984,597156425,366,16,76,381080,589ca754-ef75-426c-8d51-841cc61dc84a,-172588984,597156425,5425,8,114151,window
21651,KDT,ds_window,-250735726,636229796,387,17,87,497098,589ca754-ef75-426c-8d51-841cc61dc84a,-250735726,636229796,5425,9,163334,window
21651,KDT,ds_window,-262085610,658929564,369,18,91,375174,589ca754-ef75-426c-8d51-841cc61dc84a,-262085610,658929564,5424,8,136945,window
21651,KDT,ds_window,-225989258,640881388,539,19,85,376945,589ca754-ef75-426c-8d51-841cc61dc84a,-225989258,640881388,5424,10,130606,window
21651,KDT,ds_window,-213522992,615948856,502,20,82,366552,589ca754-ef75-426c-8d51-841cc61dc84a,-213522992,615948856,5424,8,131451,window
