tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
50083,SGT,ds_window,-299856534,709352817,13479,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,6,126244,window
50083,SGT,ds_attribute,342807385,7,71,589ca754-ef75-426c-8d51-841cc61dc84a,342807385,342807386,7,15717,838,attribute
0,SGT,ds_neighbor,76,0,10811,589ca754-ef75-426c-8d51-841cc61dc84a,342807385,342807386,76,0,355,neighbor
50083,SGT,ds_window,-299856534,709352817,17477,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,9,159089,window
50083,SGT,ds_attribute,295919340,11,19,589ca754-ef75-426c-8d51-841cc61dc84a,295919340,295919341,11,1833,4,attribute
50083,SGT,ds_window,-299856534,709352817,13441,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,6,126062,window
50083,SGT,ds_attribute,372205445,9,32,589ca754-ef75-426c-8d51-841cc61dc84a,372205445,372205446,9,2548,9,attribute
50083,SGT,ds_attribute,347645041,7,48,589ca754-ef75-426c-8d51-841cc61dc84a,347645041,347645042,7,9083,847,attribute
0,SGT,ds_neighbor,76,0,6428,589ca754-ef75-426c-8d51-841cc61dc84a,347645041,347645042,76,0,187,neighbor
50083,SGT,ds_window,-299856534,709352817,13974,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,7,127334,window
50083,SGT,ds_attribute,255729587,7,36,589ca754-ef75-426c-8d51-841cc61dc84a,255729587,255729588,7,8982,792,attribute
0,SGT,ds_neighbor,59,0,6144,589ca754-ef75-426c-8d51-841cc61dc84a,255729587,255729588,59,0,217,neighbor
50083,SGT,ds_window,-299856534,709352817,13151,589ca754-ef75-426c-8d51-841cc61dc84a,-299856534,709352817,5424,7,121620,window
50083,SGT,ds_attribute,344109831,10,39,589ca754-ef75-426c-8d51-841cc61dc84a,344109831,344109832,10,8507,856,attribute
0,SGT,ds_neighbor,40,0,6142,589ca754-ef75-426c-8d51-841cc61dc84a,344109831,344109832,40,0,169,neighbor
