tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),iteration,brush percentage,total drawing time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
47538,SGT,ds_window,-287576332,703212716,14196,1,98,371329,589ca754-ef75-426c-8d51-841cc61dc84a,-287576332,703212716,5424,6,126803,window
47538,SGT,ds_window,-268225711,664511474,13412,2,92,408735,589ca754-ef75-426c-8d51-841cc61dc84a,-268225711,664511474,5424,6,123461,window
47538,SGT,ds_window,-96675007,578736122,13582,3,66,395536,589ca754-ef75-426c-8d51-841cc61dc84a,-96675007,578736122,5424,6,125423,window
47538,SGT,ds_window,-17784010,420954128,13282,4,43,435126,589ca754-ef75-426c-8d51-841cc61dc84a,-17784010,420954128,5424,7,128847,window
47538,SGT,ds_window,-123096048,473610147,13909,5,59,408990,589ca754-ef75-426c-8d51-841cc61dc84a,-123096048,473610147,5424,7,126875,window
47538,SGT,ds_window,-208313210,644044471,13237,6,84,390678,589ca754-ef75-426c-8d51-841cc61dc84a,-208313210,644044471,5424,6,122782,window
47538,SGT,ds_window,-99652026,589713879,13291,7,68,414192,589ca754-ef75-426c-8d51-841cc61dc84a,-99652026,589713879,5424,9,124234,window
47538,SGT,ds_window,-64485992,519381811,13208,8,57,417385,589ca754-ef75-426c-8d51-841cc61dc84a,-64485992,519381811,5424,6,126431,window
47538,SGT,ds_window,-190637160,582457395,13129,9,76,392435,589ca754-ef75-426c-8d51-841cc61dc84a,-190637160,582457395,5424,6,124798,window
47538,SGT,ds_window,-144307306,489797687,12964,10,62,422316,589ca754-ef75-426c-8d51-841cc61dc84a,-144307306,489797687,5425,5,124856,window
47538,SGT,ds_window,-6992318,421140193,12835,11,42,456950,589ca754-ef75-426c-8d51-841cc61dc84a,-6992318,421140193,5424,6,128292,window
47538,SGT,ds_window,-93697988,594551533,13117,12,68,416508,589ca754-ef75-426c-8d51-841cc61dc84a,-93697988,594551533,5424,6,123903,window
47538,SGT,ds_window,-167379202,631392140,13250,13,79,392665,589ca754-ef75-426c-8d51-841cc61dc84a,-167379202,631392140,5424,7,124106,window
47538,SGT,ds_window,-88488206,473610148,12915,14,55,396064,589ca754-ef75-426c-8d51-841cc61dc84a,-88488206,473610148,5424,6,124919,window
47538,SGT,ds_window,-118258392,488495241,13442,15,60,505799,589ca754-ef75-426c-8d51-841cc61dc84a,-118258392,488495241,5424,5,157348,window
47538,SGT,ds_window,-172588984,597156425,13177,16,76,407648,589ca754-ef75-426c-8d51-841cc61dc84a,-172588984,597156425,5425,6,127253,window
47538,SGT,ds_window,-250735726,636229796,13092,17,87,385895,589ca754-ef75-426c-8d51-841cc61dc84a,-250735726,636229796,5425,6,123649,window
47538,SGT,ds_window,-262085610,658929564,13722,18,91,413619,589ca754-ef75-426c-8d51-841cc61dc84a,-262085610,658929564,5424,6,121793,window
47538,SGT,ds_window,-225989258,640881388,12981,19,85,483031,589ca754-ef75-426c-8d51-841cc61dc84a,-225989258,640881388,5424,7,141206,window
47538,SGT,ds_window,-213522992,615948856,12961,20,82,393235,589ca754-ef75-426c-8d51-841cc61dc84a,-213522992,615948856,5424,7,123868,window
47538,SGT,ds_window,-121235412,569805066,12838,21,68,410687,589ca754-ef75-426c-8d51-841cc61dc84a,-121235412,569805066,5424,6,123770,window
47538,SGT,ds_window,-133887741,595109724,13050,22,72,402430,589ca754-ef75-426c-8d51-841cc61dc84a,-133887741,595109724,5424,6,123117,window
47538,SGT,ds_window,-171100475,613716091,14572,23,77,438890,589ca754-ef75-426c-8d51-841cc61dc84a,-171100475,613716091,5424,9,138644,window
47538,SGT,ds_window,-140772097,553059335,14887,24,68,432085,589ca754-ef75-426c-8d51-841cc61dc84a,-140772097,553059335,5424,7,131357,window
47538,SGT,ds_window,-74905557,520126065,17081,25,58,433611,589ca754-ef75-426c-8d51-841cc61dc84a,-74905557,520126065,5424,6,138979,window
47538,SGT,ds_window,-58159827,486634605,14760,26,53,412124,589ca754-ef75-426c-8d51-841cc61dc84a,-58159827,486634605,5424,10,138759,window
47538,SGT,ds_window,-116583821,515846602,16067,27,62,408921,589ca754-ef75-426c-8d51-841cc61dc84a,-116583821,515846602,5424,8,134068,window
47538,SGT,ds_window,-152494109,587667178,13517,28,73,411011,589ca754-ef75-426c-8d51-841cc61dc84a,-152494109,587667178,5424,6,125634,window
47538,SGT,ds_window,-217244265,620042256,13306,29,82,389240,589ca754-ef75-426c-8d51-841cc61dc84a,-217244265,620042256,5425,5,123684,window
47538,SGT,ds_window,-235106378,655766482,14003,30,88,484824,589ca754-ef75-426c-8d51-841cc61dc84a,-235106378,655766482,5425,6,181696,window
47538,SGT,ds_window,-194544498,635485542,13205,31,82,391674,589ca754-ef75-426c-8d51-841cc61dc84a,-194544498,635485542,5425,7,127514,window
47538,SGT,ds_window,-191381415,629159376,13797,32,81,399006,589ca754-ef75-426c-8d51-841cc61dc84a,-191381415,629159376,5424,13,124229,window
47538,SGT,ds_window,-139655715,603296526,12968,33,73,400978,589ca754-ef75-426c-8d51-841cc61dc84a,-139655715,603296526,5424,6,123345,window
47538,SGT,ds_window,-64299928,452584952,14756,34,51,433435,589ca754-ef75-426c-8d51-841cc61dc84a,-64299928,452584952,5424,8,128448,window
47538,SGT,ds_window,-205708318,523289147,17375,35,72,395630,589ca754-ef75-426c-8d51-841cc61dc84a,-205708318,523289147,5424,8,155979,window
47538,SGT,ds_window,-242176798,596226107,13008,36,83,388434,589ca754-ef75-426c-8d51-841cc61dc84a,-242176798,596226107,5424,6,122756,window
47538,SGT,ds_window,-192683862,571479639,13357,37,75,410874,589ca754-ef75-426c-8d51-841cc61dc84a,-192683862,571479639,5424,9,122802,window
47538,SGT,ds_window,-184869188,555850291,13302,38,73,373526,589ca754-ef75-426c-8d51-841cc61dc84a,-184869188,555850291,5424,7,124417,window
47538,SGT,ds_window,-120491158,523661276,12902,39,63,403014,589ca754-ef75-426c-8d51-841cc61dc84a,-120491158,523661276,5424,7,123018,window
47538,SGT,ds_window,-153052300,588783560,12891,40,73,391516,589ca754-ef75-426c-8d51-841cc61dc84a,-153052300,588783560,5424,6,123861,window
47538,SGT,ds_window,-177240576,600877698,13008,41,77,385416,589ca754-ef75-426c-8d51-841cc61dc84a,-177240576,600877698,5424,7,121325,window
47538,SGT,ds_window,-167379202,581154950,13075,42,74,371289,589ca754-ef75-426c-8d51-841cc61dc84a,-167379202,581154950,5424,6,121774,window
47538,SGT,ds_window,-86999696,540965197,13313,43,62,389151,589ca754-ef75-426c-8d51-841cc61dc84a,-86999696,540965197,5424,6,126401,window
47538,SGT,ds_window,-110257654,587481113,12987,44,69,343685,589ca754-ef75-426c-8d51-841cc61dc84a,-110257654,587481113,5424,6,127464,window
47538,SGT,ds_window,-102815108,583759840,13039,45,68,362609,589ca754-ef75-426c-8d51-841cc61dc84a,-102815108,583759840,5424,6,121280,window
47538,SGT,ds_window,-32110913,442351450,14339,46,47,369722,589ca754-ef75-426c-8d51-841cc61dc84a,-32110913,442351450,5424,6,130226,window
47538,SGT,ds_window,-87557887,470074937,13163,47,55,344421,589ca754-ef75-426c-8d51-841cc61dc84a,-87557887,470074937,5424,6,125767,window
47538,SGT,ds_window,-170728348,636415859,13333,48,79,342437,589ca754-ef75-426c-8d51-841cc61dc84a,-170728348,636415859,5424,7,124845,window
47538,SGT,ds_window,-234734250,668418810,13632,49,89,344297,589ca754-ef75-426c-8d51-841cc61dc84a,-234734250,668418810,5424,10,126869,window
47538,SGT,ds_window,-181892168,562734646,13380,50,73,364448,589ca754-ef75-426c-8d51-841cc61dc84a,-181892168,562734646,5424,6,128874,window
