dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2484,2170,69799,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,407,63336,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,291625833,291625834,8,514,168,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,321775169,321775170,3,423,1417,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,321775169,321775170,591,0,746,neighbor
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,566,65035,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,246401829,246401830,8,492,744,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,246401829,246401830,464,0,120,neighbor
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,624,64753,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,369776086,369776087,9,393,1321,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,369776086,369776087,320,0,131,neighbor
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,513,63928,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,371759595,371759596,6,473,148,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,532,64324,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,337246539,337246540,12,438,746,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,337246539,337246540,276,0,103,neighbor
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,524,65397,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,237277688,237277689,3,427,774,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,237277688,237277689,577,0,101,neighbor
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,731,66861,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,310270817,310270818,9,433,668,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,310270817,310270818,304,0,107,neighbor
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,644,64508,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,270997340,270997341,3,382,147,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,644,65540,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,255129269,255129270,14,427,143,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,277741271,277741272,3,460,150,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,290039026,290039027,13,425,149,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,232913969,232913970,10,463,914,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,232913969,232913970,17,0,151,neighbor
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,442,74847,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,276551165,276551166,7,407,145,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,424,64061,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,290039026,290039027,6,428,146,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,372552998,372552999,11,404,176,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,257906181,257906182,8,444,678,attribute
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,257906181,257906182,466,0,127,neighbor
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,-299856534,709352817,2544,715,65378,window
a9bd20ca-c4f2-4b54-8c49-b968ae7e78be,240054601,240054602,11,440,768,attribute
