,iteration,brush percentage,total drawing time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
,1,98,818780,589ca754-ef75-426c-8d51-841cc61dc84a,-287576332,703212716,5424,1680,235060,window
,2,92,404161,589ca754-ef75-426c-8d51-841cc61dc84a,-268225711,664511474,5424,864,166399,window
,3,66,416305,589ca754-ef75-426c-8d51-841cc61dc84a,-96675007,578736122,5424,1262,176045,window
,4,43,480543,589ca754-ef75-426c-8d51-841cc61dc84a,-17784010,420954128,5424,1092,176023,window
,5,59,422062,589ca754-ef75-426c-8d51-841cc61dc84a,-123096048,473610147,5424,893,168643,window
,6,84,323524,589ca754-ef75-426c-8d51-841cc61dc84a,-208313210,644044471,5424,797,162575,window
,7,68,423164,589ca754-ef75-426c-8d51-841cc61dc84a,-99652026,589713879,5424,1226,175075,window
,8,57,445247,589ca754-ef75-426c-8d51-841cc61dc84a,-64485992,519381811,5424,979,177099,window
,9,76,410719,589ca754-ef75-426c-8d51-841cc61dc84a,-190637160,582457395,5424,881,182206,window
,10,62,449334,589ca754-ef75-426c-8d51-841cc61dc84a,-144307306,489797687,5425,1010,180724,window
,11,42,463412,589ca754-ef75-426c-8d51-841cc61dc84a,-6992318,421140193,5424,1058,176557,window
,12,68,429178,589ca754-ef75-426c-8d51-841cc61dc84a,-93697988,594551533,5424,843,168365,window
,13,79,401237,589ca754-ef75-426c-8d51-841cc61dc84a,-167379202,631392140,5424,841,166994,window
,14,55,428782,589ca754-ef75-426c-8d51-841cc61dc84a,-88488206,473610148,5424,992,171232,window
,15,60,434871,589ca754-ef75-426c-8d51-841cc61dc84a,-118258392,488495241,5424,912,170939,window
,16,76,420671,589ca754-ef75-426c-8d51-841cc61dc84a,-172588984,597156425,5425,898,180362,window
,17,87,405194,589ca754-ef75-426c-8d51-841cc61dc84a,-250735726,636229796,5425,1112,174836,window
,18,91,432039,589ca754-ef75-426c-8d51-841cc61dc84a,-262085610,658929564,5424,1034,173767,window
,19,85,440888,589ca754-ef75-426c-8d51-841cc61dc84a,-225989258,640881388,5424,1177,211769,window
,20,82,464959,589ca754-ef75-426c-8d51-841cc61dc84a,-213522992,615948856,5424,1003,176356,window
,21,68,439689,589ca754-ef75-426c-8d51-841cc61dc84a,-121235412,569805066,5424,1098,188276,window
,22,72,449002,589ca754-ef75-426c-8d51-841cc61dc84a,-133887741,595109724,5424,829,163695,window
,23,77,436487,589ca754-ef75-426c-8d51-841cc61dc84a,-171100475,613716091,5424,793,155237,window
,24,68,439035,589ca754-ef75-426c-8d51-841cc61dc84a,-140772097,553059335,5424,983,168719,window
,25,58,462269,589ca754-ef75-426c-8d51-841cc61dc84a,-74905557,520126065,5424,916,165936,window
,26,53,381048,589ca754-ef75-426c-8d51-841cc61dc84a,-58159827,486634605,5424,889,166854,window
,27,62,636745,589ca754-ef75-426c-8d51-841cc61dc84a,-116583821,515846602,5424,957,161249,window
,28,73,525949,589ca754-ef75-426c-8d51-841cc61dc84a,-152494109,587667178,5424,1438,206995,window
,29,82,494697,589ca754-ef75-426c-8d51-841cc61dc84a,-217244265,620042256,5425,925,178877,window
,30,88,468246,589ca754-ef75-426c-8d51-841cc61dc84a,-235106378,655766482,5425,966,178221,window
,31,82,396562,589ca754-ef75-426c-8d51-841cc61dc84a,-194544498,635485542,5425,870,173515,window
,32,81,398878,589ca754-ef75-426c-8d51-841cc61dc84a,-191381415,629159376,5424,891,178227,window
,33,73,420800,589ca754-ef75-426c-8d51-841cc61dc84a,-139655715,603296526,5424,961,178094,window
,34,51,504170,589ca754-ef75-426c-8d51-841cc61dc84a,-64299928,452584952,5424,1024,179160,window
,35,72,369224,589ca754-ef75-426c-8d51-841cc61dc84a,-205708318,523289147,5424,1012,175015,window
,36,83,390292,589ca754-ef75-426c-8d51-841cc61dc84a,-242176798,596226107,5424,1044,172473,window
,37,75,470688,589ca754-ef75-426c-8d51-841cc61dc84a,-192683862,571479639,5424,1116,180978,window
,38,73,390188,589ca754-ef75-426c-8d51-841cc61dc84a,-184869188,555850291,5424,839,173423,window
,39,63,462701,589ca754-ef75-426c-8d51-841cc61dc84a,-120491158,523661276,5424,932,174763,window
,40,73,375022,589ca754-ef75-426c-8d51-841cc61dc84a,-153052300,588783560,5424,1108,179732,window
,41,77,390227,589ca754-ef75-426c-8d51-841cc61dc84a,-177240576,600877698,5424,1067,167362,window
,42,74,482940,589ca754-ef75-426c-8d51-841cc61dc84a,-167379202,581154950,5424,1407,193005,window
,43,62,491058,589ca754-ef75-426c-8d51-841cc61dc84a,-86999696,540965197,5424,1180,172951,window
,44,69,382047,589ca754-ef75-426c-8d51-841cc61dc84a,-110257654,587481113,5424,1147,181829,window
,45,68,376416,589ca754-ef75-426c-8d51-841cc61dc84a,-102815108,583759840,5424,931,168535,window
,46,47,500492,589ca754-ef75-426c-8d51-841cc61dc84a,-32110913,442351450,5424,1396,191641,window
,47,55,485886,589ca754-ef75-426c-8d51-841cc61dc84a,-87557887,470074937,5424,1055,169115,window
,48,79,439892,589ca754-ef75-426c-8d51-841cc61dc84a,-170728348,636415859,5424,792,174067,window
,49,89,427364,589ca754-ef75-426c-8d51-841cc61dc84a,-234734250,668418810,5424,916,175523,window
,50,73,442889,589ca754-ef75-426c-8d51-841cc61dc84a,-181892168,562734646,5424,858,173299,window
