,,iteration,brush percentage,total drawing time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
,,1,98,2054079,772c7330-d4eb-485b-866a-3b315063f9af,-13564814644,27902239724,5424,11548,589496,window
,,2,92,1253587,772c7330-d4eb-485b-866a-3b315063f9af,-12754941658,26282493752,5424,11665,588352,window
,,3,66,1480971,772c7330-d4eb-485b-866a-3b315063f9af,-5575106142,22692575994,5424,13880,574715,window
,,4,43,1664630,772c7330-d4eb-485b-866a-3b315063f9af,-2273316273,16088996256,5424,17290,631581,window
,,5,59,1437535,772c7330-d4eb-485b-866a-3b315063f9af,-6680894257,18292785248,5424,14440,617892,window
,,6,84,1271644,772c7330-d4eb-485b-866a-3b315063f9af,-10247450295,25425897324,5424,11630,563277,window
,,7,68,1314468,772c7330-d4eb-485b-866a-3b315063f9af,-5699701985,23152023169,5424,12862,554886,window
,,8,57,1658497,772c7330-d4eb-485b-866a-3b315063f9af,-4227913576,20208446351,5424,15745,582345,window
,,9,76,1293650,772c7330-d4eb-485b-866a-3b315063f9af,-9507662470,22848320798,5424,12146,575651,window
,,10,62,1513649,772c7330-d4eb-485b-866a-3b315063f9af,-7568639646,18970275150,5424,14534,578525,window
,,11,42,2077888,772c7330-d4eb-485b-866a-3b315063f9af,-1821656338,16096783496,5424,20167,748446,window
,,12,68,1379377,772c7330-d4eb-485b-866a-3b315063f9af,-5450510298,23354491416,5424,13921,589808,window
,,13,79,1350095,772c7330-d4eb-485b-866a-3b315063f9af,-8534257440,24896364987,5425,13717,575686,window
,,14,55,1540018,772c7330-d4eb-485b-866a-3b315063f9af,-5232467571,18292785249,5424,17368,627632,window
,,15,60,1367911,772c7330-d4eb-485b-866a-3b315063f9af,-6478426011,18915764469,5424,14043,564166,window
,,16,76,1370886,772c7330-d4eb-485b-866a-3b315063f9af,-8752300166,23463512779,5424,12945,590982,window
,,17,87,1599584,772c7330-d4eb-485b-866a-3b315063f9af,-12022941074,25098833233,5424,13063,722454,window
,,18,91,1497051,772c7330-d4eb-485b-866a-3b315063f9af,-12497962729,26048876543,5424,12185,672080,window
,,19,85,1418802,772c7330-d4eb-485b-866a-3b315063f9af,-10987238119,25293514238,5424,12477,602182,window
,,20,82,1434462,772c7330-d4eb-485b-866a-3b315063f9af,-10465493022,24250024044,5424,13273,675863,window
,,21,68,1401325,772c7330-d4eb-485b-866a-3b315063f9af,-6603021854,22318788460,5424,13826,556901,window
,,22,72,1446800,772c7330-d4eb-485b-866a-3b315063f9af,-7132554192,23377853136,5424,13416,638594,window
,,23,77,1374393,772c7330-d4eb-485b-866a-3b315063f9af,-8690002244,24156577162,5424,12002,539788,window
,,24,68,1485404,772c7330-d4eb-485b-866a-3b315063f9af,-7420682082,21617936838,5424,13888,618522,window
,,25,58,1512703,772c7330-d4eb-485b-866a-3b315063f9af,-4663999032,20239595313,5424,13776,570023,window
,,26,53,1509131,772c7330-d4eb-485b-866a-3b315063f9af,-3963147409,18837892067,5425,15331,612735,window
,,27,62,1340381,772c7330-d4eb-485b-866a-3b315063f9af,-6408340849,20060488787,5424,13873,545946,window
,,28,73,1384437,772c7330-d4eb-485b-866a-3b315063f9af,-7911278218,23066363525,5424,12305,543465,window
,,29,82,1342692,772c7330-d4eb-485b-866a-3b315063f9af,-10621237828,24421343330,5424,13120,604834,window
,,30,88,1309736,772c7330-d4eb-485b-866a-3b315063f9af,-11368812893,25916493460,5424,11284,545183,window
