tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
578548,KDT,ds_window,-1305029698,2753780939,11089,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,11,153754,window
578548,KDT,ds_window,-1305029698,2753780939,6795,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,7,138260,window
578548,KDT,ds_attribute,746824794,7,4070,8b3289c9-a740-4091-a56d-e4d55af526b5,746824794,746824795,7,5861,6,attribute
578548,KDT,ds_attribute,1149413313,9,312,8b3289c9-a740-4091-a56d-e4d55af526b5,1149413313,1149413314,9,2320,6,attribute
578548,KDT,ds_attribute,969819922,6,6998,8b3289c9-a740-4091-a56d-e4d55af526b5,969819922,969819923,6,9152,6,attribute
578548,KDT,ds_attribute,840363019,7,945,8b3289c9-a740-4091-a56d-e4d55af526b5,840363019,840363020,7,2920,7,attribute
578548,KDT,ds_attribute,1277373604,6,403,8b3289c9-a740-4091-a56d-e4d55af526b5,1277373604,1277373605,6,2118,6,attribute
578548,KDT,ds_attribute,1367918605,10,281,8b3289c9-a740-4091-a56d-e4d55af526b5,1367918605,1367918606,10,2044,4,attribute
578548,KDT,ds_attribute,936894467,9,6655,8b3289c9-a740-4091-a56d-e4d55af526b5,936894467,936894468,9,8459,27,attribute
578548,KDT,ds_attribute,1268393934,8,3626,8b3289c9-a740-4091-a56d-e4d55af526b5,1268393934,1268393935,8,5747,10,attribute
578548,KDT,ds_attribute,1369415217,8,201,8b3289c9-a740-4091-a56d-e4d55af526b5,1369415217,1369415218,8,1978,7,attribute
578548,KDT,ds_attribute,1126215833,8,385,8b3289c9-a740-4091-a56d-e4d55af526b5,1126215833,1126215834,8,2230,6,attribute
578548,KDT,ds_attribute,991520790,9,6719,8b3289c9-a740-4091-a56d-e4d55af526b5,991520790,991520791,9,8576,8,attribute
578548,KDT,ds_attribute,1188325214,9,416,8b3289c9-a740-4091-a56d-e4d55af526b5,1188325214,1188325215,9,1959,5,attribute
578548,KDT,ds_attribute,1279618521,7,547,8b3289c9-a740-4091-a56d-e4d55af526b5,1279618521,1279618522,7,2402,5,attribute
578548,KDT,ds_attribute,1091045460,11,318,8b3289c9-a740-4091-a56d-e4d55af526b5,1091045460,1091045461,11,2070,7,attribute
578548,KDT,ds_attribute,1397850837,9,113,8b3289c9-a740-4091-a56d-e4d55af526b5,1397850837,1397850838,9,2006,6,attribute
