tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),,iteration,brush percentage,total drawing time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
578388,KDT,ds_window,-1255641516,2729086848,6868,,1,98,327933,8b3289c9-a740-4091-a56d-e4d55af526b5,-1255641516,2729086848,5425,7,136652,window
578388,KDT,ds_window,-1177817714,2573439244,8230,,2,92,308012,8b3289c9-a740-4091-a56d-e4d55af526b5,-1177817714,2573439244,5425,8,139333,window
578388,KDT,ds_window,-487879770,2228470272,6718,,3,66,312065,8b3289c9-a740-4091-a56d-e4d55af526b5,-487879770,2228470272,5424,7,145953,window
578388,KDT,ds_window,-170598112,1593906956,6884,,4,43,295810,8b3289c9-a740-4091-a56d-e4d55af526b5,-170598112,1593906956,5425,7,138701,window
578388,KDT,ds_window,-594139194,1805677497,6822,,5,59,305687,8b3289c9-a740-4091-a56d-e4d55af526b5,-594139194,1805677497,5424,7,144868,window
578388,KDT,ds_window,-936863249,2491125607,6885,,6,84,297559,8b3289c9-a740-4091-a56d-e4d55af526b5,-936863249,2491125607,5424,6,137216,window
578388,KDT,ds_window,-499852663,2272620314,6820,,7,68,288887,8b3289c9-a740-4091-a56d-e4d55af526b5,-499852663,2272620314,5424,12,141429,window
578388,KDT,ds_window,-358422867,1989760722,6770,,8,57,306790,8b3289c9-a740-4091-a56d-e4d55af526b5,-358422867,1989760722,5424,7,138072,window
578388,KDT,ds_window,-865774197,2243436387,6847,,9,76,490368,8b3289c9-a740-4091-a56d-e4d55af526b5,-865774197,2243436387,5424,7,137141,window
578388,KDT,ds_window,-679446054,1870780101,6778,,10,62,304609,8b3289c9-a740-4091-a56d-e4d55af526b5,-679446054,1870780101,5424,7,159592,window
578388,KDT,ds_window,-127196376,1594655262,6940,,11,42,307660,8b3289c9-a740-4091-a56d-e4d55af526b5,-127196376,1594655262,5424,10,136716,window
578388,KDT,ds_window,-475906877,2292076264,6930,,12,68,279736,8b3289c9-a740-4091-a56d-e4d55af526b5,-475906877,2292076264,5424,8,138069,window
578388,KDT,ds_window,-772235973,2440240812,6771,,13,79,297320,8b3289c9-a740-4091-a56d-e4d55af526b5,-772235973,2440240812,5424,6,137930,window
578388,KDT,ds_window,-454954316,1805677498,6943,,14,55,307630,8b3289c9-a740-4091-a56d-e4d55af526b5,-454954316,1805677498,5424,7,137884,window
578388,KDT,ds_window,-574683244,1865541962,7080,,15,60,284846,8b3289c9-a740-4091-a56d-e4d55af526b5,-574683244,1865541962,5424,10,135730,window
578388,KDT,ds_window,-793188536,2302552546,7038,,16,76,294321,8b3289c9-a740-4091-a56d-e4d55af526b5,-793188536,2302552546,5424,10,146080,window
578388,KDT,ds_window,-1107476970,2459696763,6802,,17,87,315124,8b3289c9-a740-4091-a56d-e4d55af526b5,-1107476970,2459696763,5424,7,138838,window
578388,KDT,ds_window,-1153123624,2550990071,7035,,18,91,293626,8b3289c9-a740-4091-a56d-e4d55af526b5,-1153123624,2550990071,5424,6,136971,window
578388,KDT,ds_window,-1007952298,2478404408,6794,,19,85,291871,8b3289c9-a740-4091-a56d-e4d55af526b5,-1007952298,2478404408,5424,6,138518,window
578388,KDT,ds_window,-957815809,2378131430,8645,,20,82,341281,8b3289c9-a740-4091-a56d-e4d55af526b5,-957815809,2378131430,5424,9,145841,window
578388,KDT,ds_window,-586656135,2192551593,6910,,21,68,315997,8b3289c9-a740-4091-a56d-e4d55af526b5,-586656135,2192551593,5424,12,146449,window
578388,KDT,ds_window,-637540929,2294321181,7353,,22,72,311354,8b3289c9-a740-4091-a56d-e4d55af526b5,-637540929,2294321181,5424,7,139104,window
578388,KDT,ds_window,-787202089,2369151761,7218,,23,77,332125,8b3289c9-a740-4091-a56d-e4d55af526b5,-787202089,2369151761,5424,7,145683,window
578388,KDT,ds_window,-665228245,2125204073,6974,,24,68,287074,8b3289c9-a740-4091-a56d-e4d55af526b5,-665228245,2125204073,5424,6,152382,window
578388,KDT,ds_window,-400327993,1992753947,6834,,25,58,284886,8b3289c9-a740-4091-a56d-e4d55af526b5,-400327993,1992753947,5424,6,142201,window
578388,KDT,ds_window,-332980471,1858058903,6781,,26,53,277405,8b3289c9-a740-4091-a56d-e4d55af526b5,-332980471,1858058903,5424,6,137266,window
578388,KDT,ds_window,-567948491,1975542913,6816,,27,62,293471,8b3289c9-a740-4091-a56d-e4d55af526b5,-567948491,1975542913,5424,8,137639,window
578388,KDT,ds_window,-712371510,2264388951,6866,,28,73,288675,8b3289c9-a740-4091-a56d-e4d55af526b5,-712371510,2264388951,5424,6,138389,window
578388,KDT,ds_window,-972781926,2394594159,6892,,29,82,286072,8b3289c9-a740-4091-a56d-e4d55af526b5,-972781926,2394594159,5424,6,142906,window
578388,KDT,ds_window,-1044619282,2538268871,6999,,30,88,290889,8b3289c9-a740-4091-a56d-e4d55af526b5,-1044619282,2538268871,5424,5,137744,window
