tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
653534,SGT,ds_window,-1305029698,2753780939,160623,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,17,328969,window
653534,SGT,ds_window,-1305029698,2753780939,170148,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,7,328819,window
653534,SGT,ds_attribute,746824794,7,29,8b3289c9-a740-4091-a56d-e4d55af526b5,746824794,746824795,7,2474,5,attribute
653534,SGT,ds_attribute,1149413313,9,98,8b3289c9-a740-4091-a56d-e4d55af526b5,1149413313,1149413314,9,3682,10,attribute
653534,SGT,ds_attribute,969819922,6,40,8b3289c9-a740-4091-a56d-e4d55af526b5,969819922,969819923,6,3161,12,attribute
653534,SGT,ds_attribute,840363019,7,27,8b3289c9-a740-4091-a56d-e4d55af526b5,840363019,840363020,7,2128,5,attribute
653534,SGT,ds_attribute,1277373604,6,153,8b3289c9-a740-4091-a56d-e4d55af526b5,1277373604,1277373605,6,2268,7,attribute
653534,SGT,ds_attribute,1367918605,10,107,8b3289c9-a740-4091-a56d-e4d55af526b5,1367918605,1367918606,10,2577,7,attribute
653534,SGT,ds_attribute,936894467,9,34,8b3289c9-a740-4091-a56d-e4d55af526b5,936894467,936894468,9,2340,9,attribute
653534,SGT,ds_attribute,1268393934,8,35,8b3289c9-a740-4091-a56d-e4d55af526b5,1268393934,1268393935,8,2097,6,attribute
653534,SGT,ds_attribute,1369415217,8,33,8b3289c9-a740-4091-a56d-e4d55af526b5,1369415217,1369415218,8,2196,6,attribute
653534,SGT,ds_attribute,1126215833,8,121,8b3289c9-a740-4091-a56d-e4d55af526b5,1126215833,1126215834,8,1893,6,attribute
653534,SGT,ds_attribute,991520790,9,25,8b3289c9-a740-4091-a56d-e4d55af526b5,991520790,991520791,9,1739,4,attribute
653534,SGT,ds_attribute,1188325214,9,81,8b3289c9-a740-4091-a56d-e4d55af526b5,1188325214,1188325215,9,1869,7,attribute
653534,SGT,ds_attribute,1279618521,7,34,8b3289c9-a740-4091-a56d-e4d55af526b5,1279618521,1279618522,7,2273,9,attribute
653534,SGT,ds_attribute,1091045460,11,36,8b3289c9-a740-4091-a56d-e4d55af526b5,1091045460,1091045461,11,2166,4,attribute
