tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),iteration,brush percentage,total drawing time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
632967,SGT,ds_window,-1305029698,2753780939,161446,1,98,103943,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,7,330540,window
632967,SGT,ds_window,-1177817714,2573439244,144590,2,92,561510,8b3289c9-a740-4091-a56d-e4d55af526b5,-1177817714,2573439244,5425,53,319113,window
632967,SGT,ds_window,-487879770,2228470272,165402,3,66,567053,8b3289c9-a740-4091-a56d-e4d55af526b5,-487879770,2228470272,5424,7,315974,window
632967,SGT,ds_window,-170598112,1593906956,139050,4,43,503000,8b3289c9-a740-4091-a56d-e4d55af526b5,-170598112,1593906956,5425,8,290555,window
632967,SGT,ds_window,-594139194,1805677497,138979,5,59,494071,8b3289c9-a740-4091-a56d-e4d55af526b5,-594139194,1805677497,5424,8,289285,window
632967,SGT,ds_window,-936863249,2491125607,138570,6,84,483674,8b3289c9-a740-4091-a56d-e4d55af526b5,-936863249,2491125607,5424,6,280128,window
632967,SGT,ds_window,-499852663,2272620314,137113,7,68,493401,8b3289c9-a740-4091-a56d-e4d55af526b5,-499852663,2272620314,5424,7,271096,window
632967,SGT,ds_window,-358422867,1989760722,139778,8,57,487275,8b3289c9-a740-4091-a56d-e4d55af526b5,-358422867,1989760722,5424,7,267944,window
632967,SGT,ds_window,-865774197,2243436387,134469,9,76,400012,8b3289c9-a740-4091-a56d-e4d55af526b5,-865774197,2243436387,5424,7,272185,window
632967,SGT,ds_window,-679446054,1870780101,137176,10,62,407655,8b3289c9-a740-4091-a56d-e4d55af526b5,-679446054,1870780101,5424,6,265662,window
632967,SGT,ds_window,-127196376,1594655262,135308,11,42,411079,8b3289c9-a740-4091-a56d-e4d55af526b5,-127196376,1594655262,5424,7,267397,window
632967,SGT,ds_window,-475906877,2292076264,137421,12,68,488347,8b3289c9-a740-4091-a56d-e4d55af526b5,-475906877,2292076264,5424,7,270152,window
632967,SGT,ds_window,-772235973,2440240812,134829,13,79,438339,8b3289c9-a740-4091-a56d-e4d55af526b5,-772235973,2440240812,5424,6,271761,window
632967,SGT,ds_window,-454954316,1805677498,135147,14,55,502362,8b3289c9-a740-4091-a56d-e4d55af526b5,-454954316,1805677498,5424,7,263201,window
632967,SGT,ds_window,-574683244,1865541962,137798,15,60,460839,8b3289c9-a740-4091-a56d-e4d55af526b5,-574683244,1865541962,5424,7,274519,window
632967,SGT,ds_window,-793188536,2302552546,135706,16,76,455178,8b3289c9-a740-4091-a56d-e4d55af526b5,-793188536,2302552546,5424,7,291830,window
632967,SGT,ds_window,-1107476970,2459696763,135037,17,87,442964,8b3289c9-a740-4091-a56d-e4d55af526b5,-1107476970,2459696763,5424,7,284619,window
632967,SGT,ds_window,-1153123624,2550990071,143940,18,91,594695,8b3289c9-a740-4091-a56d-e4d55af526b5,-1153123624,2550990071,5424,7,306025,window
632967,SGT,ds_window,-1007952298,2478404408,142776,19,85,552807,8b3289c9-a740-4091-a56d-e4d55af526b5,-1007952298,2478404408,5424,7,322919,window
632967,SGT,ds_window,-957815809,2378131430,142024,20,82,513728,8b3289c9-a740-4091-a56d-e4d55af526b5,-957815809,2378131430,5424,8,309023,window
632967,SGT,ds_window,-586656135,2192551593,146450,21,68,469798,8b3289c9-a740-4091-a56d-e4d55af526b5,-586656135,2192551593,5424,7,319819,window
632967,SGT,ds_window,-637540929,2294321181,137911,22,72,466386,8b3289c9-a740-4091-a56d-e4d55af526b5,-637540929,2294321181,5424,6,279763,window
632967,SGT,ds_window,-787202089,2369151761,139444,23,77,468468,8b3289c9-a740-4091-a56d-e4d55af526b5,-787202089,2369151761,5424,6,275265,window
632967,SGT,ds_window,-665228245,2125204073,142291,24,68,474084,8b3289c9-a740-4091-a56d-e4d55af526b5,-665228245,2125204073,5424,7,273529,window
632967,SGT,ds_window,-400327993,1992753947,137705,25,58,483377,8b3289c9-a740-4091-a56d-e4d55af526b5,-400327993,1992753947,5424,7,267763,window
632967,SGT,ds_window,-332980471,1858058903,133657,26,53,501124,8b3289c9-a740-4091-a56d-e4d55af526b5,-332980471,1858058903,5424,6,274288,window
632967,SGT,ds_window,-567948491,1975542913,143348,27,62,518282,8b3289c9-a740-4091-a56d-e4d55af526b5,-567948491,1975542913,5424,6,277088,window
632967,SGT,ds_window,-712371510,2264388951,135397,28,73,422636,8b3289c9-a740-4091-a56d-e4d55af526b5,-712371510,2264388951,5424,7,266688,window
632967,SGT,ds_window,-972781926,2394594159,133259,29,82,423854,8b3289c9-a740-4091-a56d-e4d55af526b5,-972781926,2394594159,5424,5,268829,window
632967,SGT,ds_window,-1044619282,2538268871,133547,30,88,430218,8b3289c9-a740-4091-a56d-e4d55af526b5,-1044619282,2538268871,5424,6,264546,window
632967,SGT,ds_window,-881488620,2456703540,135576,31,82,529289,8b3289c9-a740-4091-a56d-e4d55af526b5,-881488620,2456703540,5424,6,286169,window
632967,SGT,ds_window,-868767421,2431261142,135724,32,81,586071,8b3289c9-a740-4091-a56d-e4d55af526b5,-868767421,2431261142,5424,7,338502,window
632967,SGT,ds_window,-660738409,2327246636,137773,33,73,534029,8b3289c9-a740-4091-a56d-e4d55af526b5,-660738409,2327246636,5424,7,298994,window
632967,SGT,ds_window,-357674562,1721118942,137568,34,51,501357,8b3289c9-a740-4091-a56d-e4d55af526b5,-357674562,1721118942,5425,7,301527,window
