dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
00932997-9971-49b9-8154-42ff1d9253a7,-1305029698,2753780939,5424,7390,359996,window
00932997-9971-49b9-8154-42ff1d9253a7,-1305029698,2753780939,5424,1206,155498,window
00932997-9971-49b9-8154-42ff1d9253a7,746824794,746824795,7,399,195,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1149413313,1149413314,9,658,201,attribute
00932997-9971-49b9-8154-42ff1d9253a7,969819922,969819923,6,510,138,attribute
00932997-9971-49b9-8154-42ff1d9253a7,840363019,840363020,7,391,133,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1277373604,1277373605,6,398,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1367918605,1367918606,10,412,138,attribute
00932997-9971-49b9-8154-42ff1d9253a7,936894467,936894468,9,594,227,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1268393934,1268393935,8,463,139,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1369415217,1369415218,8,418,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1126215833,1126215834,8,523,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,991520790,991520791,9,421,136,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1188325214,1188325215,9,471,155,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1279618521,1279618522,7,399,134,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1091045460,1091045461,11,503,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1397850837,1397850838,9,476,136,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1299074472,1299074473,6,407,143,attribute
00932997-9971-49b9-8154-42ff1d9253a7,730362067,730362068,7,412,139,attribute
00932997-9971-49b9-8154-42ff1d9253a7,929411409,929411410,7,320,136,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1188325214,1188325215,9,586,193,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1284856662,1284856663,10,557,159,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1091793766,1091793767,8,425,187,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1221250669,1221250670,10,486,142,attribute
00932997-9971-49b9-8154-42ff1d9253a7,963833475,963833476,10,420,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1067847981,1067847982,11,358,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1356694018,1356694019,7,407,136,attribute
00932997-9971-49b9-8154-42ff1d9253a7,780498555,780498556,6,398,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,834376572,834376573,9,397,136,attribute
00932997-9971-49b9-8154-42ff1d9253a7,847846077,847846078,7,386,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1313292282,1313292283,9,405,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1297577860,1297577861,11,486,136,attribute
00932997-9971-49b9-8154-42ff1d9253a7,953357194,953357195,7,371,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,871791862,871791863,8,416,153,attribute
00932997-9971-49b9-8154-42ff1d9253a7,978799591,978799592,10,406,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1016963187,1016963188,11,452,136,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1258665959,1258665960,8,381,139,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1358938935,1358938936,8,584,180,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1100025130,1100025131,9,438,139,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1144923478,1144923479,7,484,140,attribute
00932997-9971-49b9-8154-42ff1d9253a7,997507236,997507237,10,494,134,attribute
00932997-9971-49b9-8154-42ff1d9253a7,906962235,906962236,7,398,134,attribute
00932997-9971-49b9-8154-42ff1d9253a7,976554674,976554675,9,357,134,attribute
00932997-9971-49b9-8154-42ff1d9253a7,990772484,990772485,10,388,140,attribute
00932997-9971-49b9-8154-42ff1d9253a7,993765707,993765708,8,428,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1256421041,1256421042,8,363,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1390367779,1390367780,7,445,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,731858678,731858679,9,448,146,attribute
00932997-9971-49b9-8154-42ff1d9253a7,790974836,790974837,8,448,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1213767611,1213767612,7,401,139,attribute
00932997-9971-49b9-8154-42ff1d9253a7,846349465,846349466,7,405,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,966826698,966826699,8,477,138,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1094038684,1094038685,10,359,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1140433643,1140433644,9,397,134,attribute
00932997-9971-49b9-8154-42ff1d9253a7,978799591,978799592,9,437,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1338734679,1338734680,7,413,138,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1368666911,1368666912,9,397,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1259414265,1259414266,9,447,136,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1318530422,1318530423,9,446,357,attribute
00932997-9971-49b9-8154-42ff1d9253a7,978051285,978051286,9,426,140,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1400095754,1400095755,7,686,174,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1360435547,1360435548,10,484,6203,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1360435547,1360435548,11337,0,742,neighbor
00932997-9971-49b9-8154-42ff1d9253a7,-1305029698,2753780939,5424,1351,175459,window
00932997-9971-49b9-8154-42ff1d9253a7,728117149,728117150,8,401,138,attribute
00932997-9971-49b9-8154-42ff1d9253a7,-1305029698,2753780939,5424,1231,148696,window
00932997-9971-49b9-8154-42ff1d9253a7,1260162570,1260162571,7,692,140,attribute
00932997-9971-49b9-8154-42ff1d9253a7,957098723,957098724,7,378,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1392612696,1392612697,10,405,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1120977692,1120977693,10,404,134,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1227237115,1227237116,9,502,143,attribute
00932997-9971-49b9-8154-42ff1d9253a7,959343640,959343641,10,580,148,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1088052237,1088052238,8,390,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,774512109,774512110,9,366,159,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1023697939,1023697940,9,407,132,attribute
00932997-9971-49b9-8154-42ff1d9253a7,902472400,902472401,11,543,213,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1177848933,1177848934,8,385,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1101521742,1101521743,10,425,139,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1167372652,1167372653,10,394,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,860567275,860567276,6,361,137,attribute
00932997-9971-49b9-8154-42ff1d9253a7,886009672,886009673,10,445,135,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1161386205,1161386206,7,404,139,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1277373604,1277373605,9,342,149,attribute
00932997-9971-49b9-8154-42ff1d9253a7,1337986373,1337986374,11,556,174,attribute
