,iteration,brush percentage,total drawing time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
,1,98,801558,8b3289c9-a740-4091-a56d-e4d55af526b5,-1255641516,2729086848,5425,1825,227275,window
,2,92,473376,8b3289c9-a740-4091-a56d-e4d55af526b5,-1177817714,2573439244,5425,1596,177845,window
,3,66,460202,8b3289c9-a740-4091-a56d-e4d55af526b5,-487879770,2228470272,5424,1802,180762,window
,4,43,364197,8b3289c9-a740-4091-a56d-e4d55af526b5,-170598112,1593906956,5425,2289,174968,window
,5,59,354450,8b3289c9-a740-4091-a56d-e4d55af526b5,-594139194,1805677497,5424,1692,175042,window
,6,84,359799,8b3289c9-a740-4091-a56d-e4d55af526b5,-936863249,2491125607,5424,1230,173453,window
,7,68,487640,8b3289c9-a740-4091-a56d-e4d55af526b5,-499852663,2272620314,5424,2183,237114,window
,8,57,452984,8b3289c9-a740-4091-a56d-e4d55af526b5,-358422867,1989760722,5424,1803,181314,window
,9,76,359064,8b3289c9-a740-4091-a56d-e4d55af526b5,-865774197,2243436387,5424,1387,175491,window
,10,62,456534,8b3289c9-a740-4091-a56d-e4d55af526b5,-679446054,1870780101,5424,1676,209905,window
,11,42,538180,8b3289c9-a740-4091-a56d-e4d55af526b5,-127196376,1594655262,5424,2282,285648,window
,12,68,421470,8b3289c9-a740-4091-a56d-e4d55af526b5,-475906877,2292076264,5424,1523,195280,window
,13,79,345282,8b3289c9-a740-4091-a56d-e4d55af526b5,-772235973,2440240812,5424,1259,173985,window
,14,55,374273,8b3289c9-a740-4091-a56d-e4d55af526b5,-454954316,1805677498,5424,1917,179343,window
,15,60,362335,8b3289c9-a740-4091-a56d-e4d55af526b5,-574683244,1865541962,5424,1713,174591,window
,16,76,348737,8b3289c9-a740-4091-a56d-e4d55af526b5,-793188536,2302552546,5424,1320,176740,window
,17,87,440507,8b3289c9-a740-4091-a56d-e4d55af526b5,-1107476970,2459696763,5424,1401,179892,window
,18,91,499827,8b3289c9-a740-4091-a56d-e4d55af526b5,-1153123624,2550990071,5424,1912,187784,window
,19,85,486818,8b3289c9-a740-4091-a56d-e4d55af526b5,-1007952298,2478404408,5424,1508,194993,window
,20,82,488647,8b3289c9-a740-4091-a56d-e4d55af526b5,-957815809,2378131430,5424,1614,266374,window
,21,68,430030,8b3289c9-a740-4091-a56d-e4d55af526b5,-586656135,2192551593,5424,1660,215277,window
,22,72,447481,8b3289c9-a740-4091-a56d-e4d55af526b5,-637540929,2294321181,5424,1843,176190,window
,23,77,454982,8b3289c9-a740-4091-a56d-e4d55af526b5,-787202089,2369151761,5424,1597,192945,window
,24,68,419376,8b3289c9-a740-4091-a56d-e4d55af526b5,-665228245,2125204073,5424,1844,182523,window
,25,58,342000,8b3289c9-a740-4091-a56d-e4d55af526b5,-400327993,1992753947,5424,1569,177641,window
,26,53,359596,8b3289c9-a740-4091-a56d-e4d55af526b5,-332980471,1858058903,5424,1880,173737,window
,27,62,356950,8b3289c9-a740-4091-a56d-e4d55af526b5,-567948491,1975542913,5424,1488,178675,window
,28,73,455446,8b3289c9-a740-4091-a56d-e4d55af526b5,-712371510,2264388951,5424,1471,199341,window
,29,82,434513,8b3289c9-a740-4091-a56d-e4d55af526b5,-972781926,2394594159,5424,1285,178909,window
,30,88,455182,8b3289c9-a740-4091-a56d-e4d55af526b5,-1044619282,2538268871,5424,1399,182491,window
,31,82,459107,8b3289c9-a740-4091-a56d-e4d55af526b5,-881488620,2456703540,5424,1835,178656,window
,32,81,345014,8b3289c9-a740-4091-a56d-e4d55af526b5,-868767421,2431261142,5424,1798,177188,window
,33,73,448971,8b3289c9-a740-4091-a56d-e4d55af526b5,-660738409,2327246636,5424,1539,188653,window
,34,51,482493,8b3289c9-a740-4091-a56d-e4d55af526b5,-357674562,1721118942,5425,2263,184953,window
,35,72,447779,8b3289c9-a740-4091-a56d-e4d55af526b5,-926386966,2005475144,5425,2023,179014,window
,36,83,436633,8b3289c9-a740-4091-a56d-e4d55af526b5,-1073054902,2298811016,5424,1593,175215,window
,37,75,364587,8b3289c9-a740-4091-a56d-e4d55af526b5,-874005560,2199286345,5424,1365,177880,window
,38,73,434959,8b3289c9-a740-4091-a56d-e4d55af526b5,-842576717,2136428659,5424,1884,207868,window
,39,63,347819,8b3289c9-a740-4091-a56d-e4d55af526b5,-583662913,2006971757,5425,1526,174941,window
,40,73,380662,8b3289c9-a740-4091-a56d-e4d55af526b5,-714616427,2268878785,5424,1746,177160,window
,41,77,454426,8b3289c9-a740-4091-a56d-e4d55af526b5,-811896181,2317518662,5424,1403,177983,window
,42,74,459622,8b3289c9-a740-4091-a56d-e4d55af526b5,-772235974,2238198248,5424,2262,275731,window
,43,62,366213,8b3289c9-a740-4091-a56d-e4d55af526b5,-448967870,2076564196,5424,1550,184050,window
,44,69,350223,8b3289c9-a740-4091-a56d-e4d55af526b5,-542506094,2263640644,5424,1663,183662,window
,45,68,366716,8b3289c9-a740-4091-a56d-e4d55af526b5,-512573862,2248674528,5424,1669,179531,window
,46,47,466430,8b3289c9-a740-4091-a56d-e4d55af526b5,-228217660,1679962124,5424,1752,169702,window
,47,55,462588,8b3289c9-a740-4091-a56d-e4d55af526b5,-451212786,1791459687,5424,1948,180676,window
,48,79,477902,8b3289c9-a740-4091-a56d-e4d55af526b5,-785705477,2460445069,5424,1506,185843,window
,49,89,445807,8b3289c9-a740-4091-a56d-e4d55af526b5,-1043122671,2589153666,5424,1710,194547,window
,50,73,372557,8b3289c9-a740-4091-a56d-e4d55af526b5,-830603825,2164115974,5424,1594,179646,window
